ProcessInstance__@id,ProcessInstance__AuditTrailEntry__WorkflowModelElement,ProcessInstance__AuditTrailEntry__Timestamp
180.0,Start,2023-12-22T09:40:46.549+00:00
180.0,Define_Data_Object,2024-07-17T11:32:10.296+00:00
180.0,Request_Data_Object,2024-07-17T11:32:10.296+00:00
180.0,Start_Event,2024-07-17T11:32:10.296+00:00
180.0,Define_pipeline_and_deployment_configuration,2025-07-22T12:32:36.841+00:00
180.0,send_deployment_configuration,2025-07-22T12:32:36.841+00:00
180.0,deployment_configuration_received,2025-07-22T12:32:36.841+00:00
180.0,declined,2025-07-22T12:32:36.841+00:00
180.0,decline,2025-07-22T12:32:36.841+00:00
180.0,decline_pipeline,2025-07-22T12:32:36.841+00:00
190.0,Start,2023-12-22T09:51:33.609+00:00
190.0,Define_Data_Object,2024-09-20T08:15:14.249+00:00
190.0,Request_Data_Object,2024-09-20T08:15:14.249+00:00
190.0,Start_Event,2024-09-20T08:15:14.249+00:00
190.0,Define_pipeline_and_deployment_configuration,2025-10-22T11:30:15.930+00:00
190.0,send_deployment_configuration,2025-10-22T11:30:15.930+00:00
190.0,deployment_configuration_received,2025-10-22T11:30:15.930+00:00
190.0,accepted,2025-10-22T11:30:15.930+00:00
190.0,accept,2025-10-22T11:30:15.930+00:00
190.0,execute_capabilities,2026-09-17T10:41:46.202+00:00
190.0,terminate_exchange,2026-09-17T10:41:46.202+00:00
191.0,Start,2023-12-22T09:54:02.069+00:00
191.0,Define_Data_Object,2024-09-24T13:58:09.507+00:00
191.0,Request_Data_Object,2024-09-24T13:58:09.507+00:00
191.0,Start_Event,2024-09-24T13:58:09.507+00:00
191.0,Define_pipeline_and_deployment_configuration,2025-11-10T16:15:40.562+00:00
191.0,send_deployment_configuration,2025-11-10T16:15:40.562+00:00
191.0,deployment_configuration_received,2025-11-10T16:15:40.562+00:00
191.0,accepted,2025-11-10T16:15:40.562+00:00
191.0,accept,2025-11-10T16:15:40.562+00:00
191.0,implement_capabilities,2026-09-25T12:53:44.272+00:00
191.0,execute_capabilities,2026-11-16T13:11:07.030+00:00
191.0,terminate_exchange,2026-11-16T13:11:07.030+00:00
153.0,Start,2023-12-22T09:07:42.145+00:00
153.0,Define_Data_Object,2024-01-23T11:17:40.263+00:00
153.0,Request_Data_Object,2024-01-23T11:17:40.263+00:00
153.0,Start_Event,2024-01-23T11:17:40.263+00:00
153.0,decline_exchange,2024-01-23T11:17:40.263+00:00
153.0,data_object_declined,2024-01-23T11:17:40.263+00:00
153.0,decline_data_object,2024-01-23T11:17:40.263+00:00
154.0,Start,2023-12-22T09:08:11.812+00:00
154.0,Define_Data_Object,2024-01-30T14:47:03.779+00:00
154.0,Request_Data_Object,2024-01-30T14:47:03.779+00:00
154.0,Start_Event,2024-01-30T14:47:03.779+00:00
154.0,Define_pipeline_and_deployment_configuration,2024-11-07T14:18:37.724+00:00
154.0,send_deployment_configuration,2024-11-07T14:18:37.724+00:00
154.0,deployment_configuration_received,2024-11-07T14:18:37.724+00:00
154.0,accepted,2024-11-07T14:18:37.724+00:00
154.0,accept,2024-11-07T14:18:37.724+00:00
154.0,implement_capabilities,2026-01-26T13:39:55.403+00:00
154.0,execute_capabilities,2026-10-30T13:00:29.171+00:00
154.0,terminate_exchange,2026-10-30T13:00:29.171+00:00
155.0,Start,2023-12-22T09:09:58.558+00:00
155.0,Define_Data_Object,2024-02-07T13:50:31.373+00:00
155.0,Request_Data_Object,2024-02-07T13:50:31.373+00:00
155.0,Start_Event,2024-02-07T13:50:31.373+00:00
155.0,Define_pipeline_and_deployment_configuration,2024-11-13T10:19:49.225+00:00
155.0,send_deployment_configuration,2024-11-13T10:19:49.225+00:00
155.0,deployment_configuration_received,2024-11-13T10:19:49.225+00:00
155.0,revised,2024-11-13T10:19:49.225+00:00
155.0,revise,2024-11-13T10:19:49.225+00:00
155.0,Define_pipeline_and_deployment_configuration,2026-02-06T11:40:12.758+00:00
155.0,send_deployment_configuration,2026-02-06T11:40:12.758+00:00
164.0,Start,2023-12-22T09:18:46.657+00:00
164.0,Define_Data_Object,2024-04-08T13:34:12.774+00:00
164.0,Request_Data_Object,2024-04-08T13:34:12.774+00:00
164.0,Start_Event,2024-04-08T13:34:12.774+00:00
164.0,Define_pipeline_and_deployment_configuration,2025-02-12T09:16:02.286+00:00
164.0,send_deployment_configuration,2025-02-12T09:16:02.286+00:00
164.0,deployment_configuration_received,2025-02-12T09:16:02.286+00:00
164.0,accepted,2025-02-12T09:16:02.286+00:00
164.0,accept,2025-02-12T09:16:02.286+00:00
164.0,implement_capabilities,2026-03-30T08:43:44.248+00:00
164.0,execute_capabilities,2026-11-02T13:02:49.649+00:00
164.0,terminate_exchange,2026-11-02T13:02:49.649+00:00
175.0,Start,2023-12-22T09:29:23.837+00:00
175.0,Define_Data_Object,2024-06-10T12:26:28.205+00:00
175.0,Request_Data_Object,2024-06-10T12:26:28.205+00:00
175.0,Start_Event,2024-06-10T12:26:28.205+00:00
175.0,revise_exchange,2024-06-10T12:26:28.205+00:00
175.0,data_object_revised,2024-06-10T12:26:28.205+00:00
175.0,Define_Data_Object,2025-05-30T10:13:47.042+00:00
175.0,Request_Data_Object,2025-05-30T10:13:47.042+00:00
175.0,Start_Event,2025-05-30T10:13:47.042+00:00
175.0,Define_pipeline_and_deployment_configuration,2026-06-23T10:19:38.638+00:00
175.0,send_deployment_configuration,2026-06-23T10:19:38.638+00:00
175.0,deployment_configuration_received,2026-06-23T10:19:38.638+00:00
175.0,accepted,2026-06-23T10:19:38.638+00:00
175.0,accept,2026-06-23T10:19:38.638+00:00
175.0,implement_capabilities,2026-11-12T15:27:22.248+00:00
175.0,execute_capabilities,2026-11-20T15:52:06.042+00:00
175.0,terminate_exchange,2026-11-20T15:52:06.042+00:00
186.0,Start,2023-12-22T09:46:13.742+00:00
186.0,Define_Data_Object,2024-08-23T12:04:19.466+00:00
186.0,Request_Data_Object,2024-08-23T12:04:19.466+00:00
186.0,Start_Event,2024-08-23T12:04:19.466+00:00
186.0,decline_exchange,2024-08-23T12:04:19.466+00:00
186.0,data_object_declined,2024-08-23T12:04:19.466+00:00
186.0,decline_data_object,2024-08-23T12:04:19.466+00:00
187.0,Start,2023-12-22T09:47:22.670+00:00
187.0,Define_Data_Object,2024-09-03T10:31:04.421+00:00
187.0,Request_Data_Object,2024-09-03T10:31:04.421+00:00
187.0,Start_Event,2024-09-03T10:31:04.421+00:00
187.0,Define_pipeline_and_deployment_configuration,2025-10-06T13:42:26.557+00:00
187.0,send_deployment_configuration,2025-10-06T13:42:26.557+00:00
187.0,deployment_configuration_received,2025-10-06T13:42:26.557+00:00
187.0,accepted,2025-10-06T13:42:26.557+00:00
187.0,accept,2025-10-06T13:42:26.557+00:00
187.0,implement_capabilities,2026-09-17T09:06:47.279+00:00
187.0,execute_capabilities,2026-11-16T10:22:11.910+00:00
187.0,terminate_exchange,2026-11-16T10:22:11.910+00:00
165.0,Start,2023-12-22T09:20:35.536+00:00
165.0,Define_Data_Object,2024-04-10T08:54:22.869+00:00
165.0,Request_Data_Object,2024-04-10T08:54:22.869+00:00
165.0,Start_Event,2024-04-10T08:54:22.869+00:00
165.0,Define_pipeline_and_deployment_configuration,2025-02-17T16:59:48.749+00:00
165.0,send_deployment_configuration,2025-02-17T16:59:48.749+00:00
165.0,deployment_configuration_received,2025-02-17T16:59:48.749+00:00
165.0,accepted,2025-02-17T16:59:48.749+00:00
165.0,accept,2025-02-17T16:59:48.749+00:00
165.0,execute_capabilities,2026-03-30T11:52:47.862+00:00
165.0,terminate_exchange,2026-03-30T11:52:47.862+00:00
176.0,Start,2023-12-22T09:31:12.083+00:00
176.0,Define_Data_Object,2024-06-17T09:50:43.307+00:00
176.0,Request_Data_Object,2024-06-17T09:50:43.307+00:00
176.0,Start_Event,2024-06-17T09:50:43.307+00:00
176.0,Define_pipeline_and_deployment_configuration,2025-06-05T13:21:31.615+00:00
176.0,send_deployment_configuration,2025-06-05T13:21:31.615+00:00
176.0,deployment_configuration_received,2025-06-05T13:21:31.615+00:00
176.0,accepted,2025-06-05T13:21:31.615+00:00
176.0,accept,2025-06-05T13:21:31.615+00:00
176.0,implement_capabilities,2026-07-06T13:31:15.210+00:00
176.0,execute_capabilities,2026-11-13T10:22:08.952+00:00
176.0,terminate_exchange,2026-11-13T10:22:08.952+00:00
188.0,Start,2023-12-22T09:47:58.734+00:00
188.0,Define_Data_Object,2024-09-03T14:07:09.441+00:00
188.0,Request_Data_Object,2024-09-03T14:07:09.441+00:00
188.0,Start_Event,2024-09-03T14:07:09.441+00:00
188.0,decline_exchange,2024-09-03T14:07:09.441+00:00
188.0,data_object_declined,2024-09-03T14:07:09.441+00:00
188.0,decline_data_object,2024-09-03T14:07:09.441+00:00
166.0,Start,2023-12-22T09:21:16.199+00:00
166.0,Define_Data_Object,2024-04-15T13:43:59.435+00:00
166.0,Request_Data_Object,2024-04-15T13:43:59.435+00:00
166.0,Start_Event,2024-04-15T13:43:59.435+00:00
166.0,decline_exchange,2024-04-15T13:43:59.435+00:00
166.0,data_object_declined,2024-04-15T13:43:59.435+00:00
166.0,decline_data_object,2024-04-15T13:43:59.435+00:00
177.0,Start,2023-12-22T09:34:09.350+00:00
177.0,Define_Data_Object,2024-06-25T14:16:57.904+00:00
177.0,Request_Data_Object,2024-06-25T14:16:57.904+00:00
177.0,Start_Event,2024-06-25T14:16:57.904+00:00
177.0,Define_pipeline_and_deployment_configuration,2025-06-20T15:39:56.362+00:00
177.0,send_deployment_configuration,2025-06-20T15:39:56.362+00:00
177.0,deployment_configuration_received,2025-06-20T15:39:56.362+00:00
177.0,accepted,2025-06-20T15:39:56.362+00:00
177.0,accept,2025-06-20T15:39:56.362+00:00
177.0,execute_capabilities,2026-07-06T14:56:06.696+00:00
177.0,terminate_exchange,2026-07-06T14:56:06.696+00:00
179.0,Start,2023-12-22T09:38:16.618+00:00
179.0,Define_Data_Object,2024-07-04T15:30:01.598+00:00
179.0,Request_Data_Object,2024-07-04T15:30:01.598+00:00
179.0,Start_Event,2024-07-04T15:30:01.598+00:00
179.0,Define_pipeline_and_deployment_configuration,2025-07-17T10:57:15.937+00:00
179.0,send_deployment_configuration,2025-07-17T10:57:15.937+00:00
179.0,deployment_configuration_received,2025-07-17T10:57:15.937+00:00
179.0,accepted,2025-07-17T10:57:15.937+00:00
179.0,accept,2025-07-17T10:57:15.937+00:00
179.0,implement_capabilities,2026-08-06T15:55:37.489+00:00
179.0,End Event_336,2026-08-06T15:55:37.489+00:00
152.0,Start,2023-12-22T09:06:42.257+00:00
152.0,Define_Data_Object,2024-01-11T13:08:35.611+00:00
152.0,Request_Data_Object,2024-01-11T13:08:35.611+00:00
152.0,Start_Event,2024-01-11T13:08:35.611+00:00
152.0,Define_pipeline_and_deployment_configuration,2024-10-21T11:51:41.903+00:00
152.0,send_deployment_configuration,2024-10-21T11:51:41.903+00:00
152.0,deployment_configuration_received,2024-10-21T11:51:41.903+00:00
152.0,declined,2024-10-21T11:51:41.903+00:00
152.0,decline,2024-10-21T11:51:41.903+00:00
152.0,decline_pipeline,2024-10-21T11:51:41.903+00:00
189.0,Start,2023-12-22T09:49:06.751+00:00
