ProcessInstance__@id,ProcessInstance__AuditTrailEntry__WorkflowModelElement,ProcessInstance__AuditTrailEntry__Timestamp
80.0,Start,2023-12-22T09:47:36.964+00:00
80.0,Define_Data_Object,2024-06-25T15:56:22.559+00:00
80.0,Request_Data_Object,2024-06-25T15:56:22.559+00:00
80.0,Start_Event,2024-06-25T15:56:22.559+00:00
80.0,Define_pipeline_and_deployment_configuration,2025-08-12T13:44:35.630+00:00
80.0,send_deployment_configuration,2025-08-12T13:44:35.630+00:00
80.0,deployment_configuration_received,2025-08-12T13:44:35.630+00:00
80.0,accepted,2025-08-12T13:44:35.630+00:00
80.0,accept,2025-08-12T13:44:35.630+00:00
80.0,implement_capabilities,2026-06-22T11:47:57.944+00:00
80.0,execute_capabilities,2026-11-26T09:36:33.660+00:00
80.0,terminate_exchange,2026-11-26T09:36:33.660+00:00
90.0,Start,2023-12-22T09:59:46.075+00:00
90.0,Define_Data_Object,2024-08-27T10:55:51.262+00:00
90.0,Request_Data_Object,2024-08-27T10:55:51.262+00:00
90.0,Start_Event,2024-08-27T10:55:51.262+00:00
90.0,Define_pipeline_and_deployment_configuration,2025-11-17T11:41:06.705+00:00
90.0,send_deployment_configuration,2025-11-17T11:41:06.705+00:00
90.0,deployment_configuration_received,2025-11-17T11:41:06.705+00:00
90.0,accepted,2025-11-17T11:41:06.705+00:00
90.0,accept,2025-11-17T11:41:06.705+00:00
90.0,implement_capabilities,2026-08-27T11:26:51.473+00:00
90.0,execute_capabilities,2026-11-26T16:54:29.486+00:00
90.0,terminate_exchange,2026-11-26T16:54:29.486+00:00
91.0,Start,2023-12-22T10:01:27.011+00:00
91.0,Define_Data_Object,2024-09-03T14:28:22.638+00:00
91.0,Request_Data_Object,2024-09-03T14:28:22.638+00:00
91.0,Start_Event,2024-09-03T14:28:22.638+00:00
91.0,Define_pipeline_and_deployment_configuration,2025-11-26T13:04:37.880+00:00
91.0,send_deployment_configuration,2025-11-26T13:04:37.880+00:00
91.0,deployment_configuration_received,2025-11-26T13:04:37.880+00:00
91.0,accepted,2025-11-26T13:04:37.880+00:00
91.0,accept,2025-11-26T13:04:37.880+00:00
91.0,implement_capabilities,2026-09-11T08:58:11.414+00:00
91.0,execute_capabilities,2026-11-27T10:44:03.576+00:00
91.0,terminate_exchange,2026-11-27T10:44:03.576+00:00
53.0,Start,2023-12-22T09:05:13.309+00:00
53.0,Define_Data_Object,2024-01-29T14:05:16.581+00:00
53.0,Request_Data_Object,2024-01-29T14:05:16.581+00:00
53.0,Start_Event,2024-01-29T14:05:16.581+00:00
53.0,Define_pipeline_and_deployment_configuration,2024-11-13T16:24:27.424+00:00
