ProcessInstance__@id,ProcessInstance__AuditTrailEntry__WorkflowModelElement,ProcessInstance__AuditTrailEntry__Timestamp
430.0,Start,2023-12-22T09:41:55.354+00:00
430.0,Define_Data_Object,2024-06-21T13:15:30.623+00:00
430.0,Request_Data_Object,2024-06-21T13:15:30.623+00:00
430.0,Start_Event,2024-06-21T13:15:30.623+00:00
430.0,revise_exchange,2024-06-21T13:15:30.623+00:00
430.0,data_object_revised,2024-06-21T13:15:30.623+00:00
430.0,Define_Data_Object,2025-08-06T12:28:33.798+00:00
430.0,Request_Data_Object,2025-08-06T12:28:33.798+00:00
430.0,Start_Event,2025-08-06T12:28:33.798+00:00
430.0,decline_exchange,2025-08-06T12:28:33.798+00:00
430.0,data_object_declined,2025-08-06T12:28:33.798+00:00
430.0,decline_data_object,2025-08-06T12:28:33.798+00:00
440.0,Start,2023-12-22T09:59:17.412+00:00
440.0,Define_Data_Object,2024-08-27T12:22:34.007+00:00
440.0,Request_Data_Object,2024-08-27T12:22:34.007+00:00
440.0,Start_Event,2024-08-27T12:22:34.007+00:00
440.0,Define_pipeline_and_deployment_configuration,2025-10-17T13:29:05.647+00:00
440.0,send_deployment_configuration,2025-10-17T13:29:05.647+00:00
440.0,deployment_configuration_received,2025-10-17T13:29:05.647+00:00
440.0,accepted,2025-10-17T13:29:05.647+00:00
440.0,accept,2025-10-17T13:29:05.647+00:00
440.0,implement_capabilities,2026-09-15T10:48:36.015+00:00
440.0,execute_capabilities,2026-12-01T09:26:29.183+00:00
440.0,terminate_exchange,2026-12-01T09:26:29.183+00:00
441.0,Start,2023-12-22T10:00:22.251+00:00
441.0,Define_Data_Object,2024-09-04T08:42:07.853+00:00
441.0,Request_Data_Object,2024-09-04T08:42:07.853+00:00
441.0,Start_Event,2024-09-04T08:42:07.853+00:00
441.0,Define_pipeline_and_deployment_configuration,2025-10-27T11:22:38.727+00:00
441.0,send_deployment_configuration,2025-10-27T11:22:38.727+00:00
441.0,deployment_configuration_received,2025-10-27T11:22:38.727+00:00
441.0,accepted,2025-10-27T11:22:38.727+00:00
441.0,accept,2025-10-27T11:22:38.727+00:00
441.0,implement_capabilities,2026-09-25T09:26:03.992+00:00
441.0,End Event_336,2026-09-25T09:26:03.992+00:00
403.0,Start,2023-12-22T09:05:40.922+00:00
403.0,Define_Data_Object,2024-01-17T09:56:00.907+00:00
403.0,Request_Data_Object,2024-01-17T09:56:00.907+00:00
403.0,Start_Event,2024-01-17T09:56:00.907+00:00
403.0,Define_pipeline_and_deployment_configuration,2024-11-20T09:12:12.807+00:00
403.0,send_deployment_configuration,2024-11-20T09:12:12.807+00:00
403.0,deployment_configuration_received,2024-11-20T09:12:12.807+00:00
403.0,accepted,2024-11-20T09:12:12.807+00:00
403.0,accept,2024-11-20T09:12:12.807+00:00
403.0,implement_capabilities,2026-01-07T09:45:25.823+00:00
403.0,execute_capabilities,2026-10-22T10:33:45.946+00:00
403.0,terminate_exchange,2026-10-22T10:33:45.946+00:00
404.0,Start,2023-12-22T09:07:45.887+00:00
404.0,Define_Data_Object,2024-01-22T11:58:23.665+00:00
404.0,Request_Data_Object,2024-01-22T11:58:23.665+00:00
404.0,Start_Event,2024-01-22T11:58:23.665+00:00
404.0,Define_pipeline_and_deployment_configuration,2024-11-25T16:04:24.575+00:00
404.0,send_deployment_configuration,2024-11-25T16:04:24.575+00:00
404.0,deployment_configuration_received,2024-11-25T16:04:24.575+00:00
404.0,accepted,2024-11-25T16:04:24.575+00:00
404.0,accept,2024-11-25T16:04:24.575+00:00
404.0,implement_capabilities,2026-01-15T10:46:28.978+00:00
404.0,execute_capabilities,2026-10-22T13:45:34.850+00:00
404.0,terminate_exchange,2026-10-22T13:45:34.850+00:00
405.0,Start,2023-12-22T09:09:30.606+00:00
405.0,Define_Data_Object,2024-01-29T13:51:31.745+00:00
405.0,Request_Data_Object,2024-01-29T13:51:31.745+00:00
405.0,Start_Event,2024-01-29T13:51:31.745+00:00
405.0,decline_exchange,2024-01-29T13:51:31.745+00:00
405.0,data_object_declined,2024-01-29T13:51:31.745+00:00
405.0,decline_data_object,2024-01-29T13:51:31.745+00:00
414.0,Start,2023-12-22T09:21:10.834+00:00
414.0,Define_Data_Object,2024-03-20T12:54:29.251+00:00
414.0,Request_Data_Object,2024-03-20T12:54:29.251+00:00
414.0,Start_Event,2024-03-20T12:54:29.251+00:00
414.0,Define_pipeline_and_deployment_configuration,2025-02-20T12:51:03.045+00:00
414.0,send_deployment_configuration,2025-02-20T12:51:03.045+00:00
414.0,deployment_configuration_received,2025-02-20T12:51:03.045+00:00
414.0,accepted,2025-02-20T12:51:03.045+00:00
414.0,accept,2025-02-20T12:51:03.045+00:00
414.0,implement_capabilities,2026-04-03T12:57:30.418+00:00
414.0,execute_capabilities,2026-10-26T12:10:26.650+00:00
414.0,terminate_exchange,2026-10-26T12:10:26.650+00:00
425.0,Start,2023-12-22T09:33:24.774+00:00
425.0,Define_Data_Object,2024-05-21T09:59:28.548+00:00
425.0,Request_Data_Object,2024-05-21T09:59:28.548+00:00
425.0,Start_Event,2024-05-21T09:59:28.548+00:00
425.0,Define_pipeline_and_deployment_configuration,2025-06-11T13:14:49.967+00:00
425.0,send_deployment_configuration,2025-06-11T13:14:49.967+00:00
425.0,deployment_configuration_received,2025-06-11T13:14:49.967+00:00
425.0,accepted,2025-06-11T13:14:49.967+00:00
425.0,accept,2025-06-11T13:14:49.967+00:00
425.0,implement_capabilities,2026-06-22T12:47:53.024+00:00
425.0,execute_capabilities,2026-11-06T15:31:24.794+00:00
425.0,terminate_exchange,2026-11-06T15:31:24.794+00:00
436.0,Start,2023-12-22T09:50:59.278+00:00
436.0,Define_Data_Object,2024-08-02T10:46:38.464+00:00
436.0,Request_Data_Object,2024-08-02T10:46:38.464+00:00
436.0,Start_Event,2024-08-02T10:46:38.464+00:00
436.0,revise_exchange,2024-08-02T10:46:38.464+00:00
