ProcessInstance__@id,ProcessInstance__AuditTrailEntry__WorkflowModelElement,ProcessInstance__AuditTrailEntry__Timestamp
580.0,Start,2023-12-22T09:42:51.823+00:00
580.0,Define_Data_Object,2024-08-01T10:36:08.797+00:00
580.0,Request_Data_Object,2024-08-01T10:36:08.797+00:00
580.0,Start_Event,2024-08-01T10:36:08.797+00:00
580.0,Define_pipeline_and_deployment_configuration,2025-06-26T15:28:40.753+00:00
580.0,send_deployment_configuration,2025-06-26T15:28:40.753+00:00
580.0,deployment_configuration_received,2025-06-26T15:28:40.753+00:00
580.0,accepted,2025-06-26T15:28:40.753+00:00
580.0,accept,2025-06-26T15:28:40.753+00:00
580.0,implement_capabilities,2026-05-25T08:24:42.964+00:00
580.0,execute_capabilities,2026-10-07T12:56:11.889+00:00
580.0,terminate_exchange,2026-10-07T12:56:11.889+00:00
590.0,Start,2023-12-22T09:54:07.577+00:00
590.0,Define_Data_Object,2024-10-04T12:20:45.398+00:00
590.0,Request_Data_Object,2024-10-04T12:20:45.398+00:00
590.0,Start_Event,2024-10-04T12:20:45.398+00:00
590.0,Define_pipeline_and_deployment_configuration,2025-11-04T12:09:42.694+00:00
590.0,send_deployment_configuration,2025-11-04T12:09:42.694+00:00
590.0,deployment_configuration_received,2025-11-04T12:09:42.694+00:00
590.0,accepted,2025-11-04T12:09:42.694+00:00
590.0,accept,2025-11-04T12:09:42.694+00:00
590.0,implement_capabilities,2026-07-30T12:59:53.991+00:00
590.0,execute_capabilities,2026-10-08T12:46:07.789+00:00
590.0,terminate_exchange,2026-10-08T12:46:07.789+00:00
591.0,Start,2023-12-22T09:55:56.069+00:00
591.0,Define_Data_Object,2024-10-04T15:15:26.715+00:00
591.0,Request_Data_Object,2024-10-04T15:15:26.715+00:00
591.0,Start_Event,2024-10-04T15:15:26.715+00:00
591.0,decline_exchange,2024-10-04T15:15:26.715+00:00
591.0,data_object_declined,2024-10-04T15:15:26.715+00:00
591.0,decline_data_object,2024-10-04T15:15:26.715+00:00
553.0,Start,2023-12-22T09:03:50.079+00:00
553.0,Define_Data_Object,2024-01-11T11:44:36.897+00:00
553.0,Request_Data_Object,2024-01-11T11:44:36.897+00:00
553.0,Start_Event,2024-01-11T11:44:36.897+00:00
553.0,Define_pipeline_and_deployment_configuration,2024-12-23T12:23:42.726+00:00
553.0,send_deployment_configuration,2024-12-23T12:23:42.726+00:00
553.0,deployment_configuration_received,2024-12-23T12:23:42.726+00:00
553.0,accepted,2024-12-23T12:23:42.726+00:00
553.0,accept,2024-12-23T12:23:42.726+00:00
553.0,implement_capabilities,2025-12-25T14:56:35.014+00:00
553.0,execute_capabilities,2026-09-16T09:30:22.228+00:00
553.0,terminate_exchange,2026-09-16T09:30:22.228+00:00
554.0,Start,2023-12-22T09:07:41.559+00:00
554.0,Define_Data_Object,2024-01-24T11:39:05.453+00:00
554.0,Request_Data_Object,2024-01-24T11:39:05.453+00:00
554.0,Start_Event,2024-01-24T11:39:05.453+00:00
554.0,Define_pipeline_and_deployment_configuration,2025-01-02T13:14:28.142+00:00
554.0,send_deployment_configuration,2025-01-02T13:14:28.142+00:00
554.0,deployment_configuration_received,2025-01-02T13:14:28.142+00:00
554.0,accepted,2025-01-02T13:14:28.142+00:00
554.0,accept,2025-01-02T13:14:28.142+00:00
554.0,implement_capabilities,2026-01-08T13:46:23.201+00:00
554.0,execute_capabilities,2026-09-16T11:07:27.251+00:00
554.0,terminate_exchange,2026-09-16T11:07:27.251+00:00
555.0,Start,2023-12-22T09:10:57.853+00:00
555.0,Define_Data_Object,2024-02-05T16:08:05.641+00:00
555.0,Request_Data_Object,2024-02-05T16:08:05.641+00:00
555.0,Start_Event,2024-02-05T16:08:05.641+00:00
555.0,Define_pipeline_and_deployment_configuration,2025-01-22T13:35:53.250+00:00
555.0,send_deployment_configuration,2025-01-22T13:35:53.250+00:00
555.0,deployment_configuration_received,2025-01-22T13:35:53.250+00:00
555.0,accepted,2025-01-22T13:35:53.250+00:00
555.0,accept,2025-01-22T13:35:53.250+00:00
555.0,implement_capabilities,2026-01-20T15:12:01.070+00:00
555.0,End Event_336,2026-01-20T15:12:01.070+00:00
564.0,Start,2023-12-22T09:23:51.944+00:00
564.0,Define_Data_Object,2024-04-11T08:34:42.101+00:00
564.0,Request_Data_Object,2024-04-11T08:34:42.101+00:00
564.0,Start_Event,2024-04-11T08:34:42.101+00:00
564.0,Define_pipeline_and_deployment_configuration,2025-04-08T14:03:04.464+00:00
564.0,send_deployment_configuration,2025-04-08T14:03:04.464+00:00
564.0,deployment_configuration_received,2025-04-08T14:03:04.464+00:00
564.0,accepted,2025-04-08T14:03:04.464+00:00
564.0,accept,2025-04-08T14:03:04.464+00:00
564.0,implement_capabilities,2026-03-09T14:38:36.934+00:00
564.0,execute_capabilities,2026-09-17T09:41:18.052+00:00
564.0,terminate_exchange,2026-09-17T09:41:18.052+00:00
575.0,Start,2023-12-22T09:40:59.216+00:00
575.0,Define_Data_Object,2024-06-28T13:14:09.236+00:00
575.0,Request_Data_Object,2024-06-28T13:14:09.236+00:00
575.0,Start_Event,2024-06-28T13:14:09.236+00:00
575.0,decline_exchange,2024-06-28T13:14:09.236+00:00
575.0,data_object_declined,2024-06-28T13:14:09.236+00:00
575.0,decline_data_object,2024-06-28T13:14:09.236+00:00
586.0,Start,2023-12-22T09:48:36.308+00:00
586.0,Define_Data_Object,2024-09-05T15:57:23.277+00:00
586.0,Request_Data_Object,2024-09-05T15:57:23.277+00:00
586.0,Start_Event,2024-09-05T15:57:23.277+00:00
586.0,Define_pipeline_and_deployment_configuration,2025-09-16T09:37:47.007+00:00
586.0,send_deployment_configuration,2025-09-16T09:37:47.007+00:00
586.0,deployment_configuration_received,2025-09-16T09:37:47.007+00:00
586.0,accepted,2025-09-16T09:37:47.007+00:00
586.0,accept,2025-09-16T09:37:47.007+00:00
586.0,implement_capabilities,2026-06-30T15:44:03.609+00:00
586.0,execute_capabilities,2026-10-08T11:37:18.089+00:00
586.0,terminate_exchange,2026-10-08T11:37:18.089+00:00
597.0,Start,2023-12-22T10:01:50.429+00:00
597.0,Define_Data_Object,2024-11-06T10:20:39.305+00:00
597.0,Request_Data_Object,2024-11-06T10:20:39.305+00:00
597.0,Start_Event,2024-11-06T10:20:39.305+00:00
597.0,decline_exchange,2024-11-06T10:20:39.305+00:00
597.0,data_object_declined,2024-11-06T10:20:39.305+00:00
597.0,decline_data_object,2024-11-06T10:20:39.305+00:00
587.0,Start,2023-12-22T09:48:53.532+00:00
587.0,Define_Data_Object,2024-09-17T10:02:19.677+00:00
587.0,Request_Data_Object,2024-09-17T10:02:19.677+00:00
587.0,Start_Event,2024-09-17T10:02:19.677+00:00
587.0,Define_pipeline_and_deployment_configuration,2025-10-03T12:17:15.525+00:00
587.0,send_deployment_configuration,2025-10-03T12:17:15.525+00:00
587.0,deployment_configuration_received,2025-10-03T12:17:15.525+00:00
587.0,accepted,2025-10-03T12:17:15.525+00:00
587.0,accept,2025-10-03T12:17:15.525+00:00
